id;street;city;province_or_state;country
1;Otis Fork;Lake Bernieland;constitute qua;Georgia
2;German Crossing;East Alaina;best to;Montserrat
3;Hintz Junction;New Daronside;towards ha;Heard Island and McDonald Islands
4;Geovanny Parks;Rowanville;including;Norfolk Island
5;N 2nd Street;Lake Annabel;agitate focalise;Samoa
6;Zena Loaf;Jenniferbury;daintily lucky;Palestine
7;Judge Fields;Sebastianport;helplessly picturize;Libyan Arab Jamahiriya
8;Waterside;Guaynabo;yearly ah;Thailand
9;State Street;Hermistoncester;though amidst;Bolivia
10;E Jackson Street;Alhambra;hamstring;Cote d'Ivoire
